Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
755000,0.60962874,1.9999698e-05,3.1678555,0.1470007,0.03341603,41.9185731785638,41.918573164459474,1167.8190476190475
760000,0.6098997,1.9999698e-05,3.3617852,0.14683065,0.034171537,45.35515743850968,45.35515735049988,1341.8490566037735
765000,0.6155922,1.9999694e-05,3.2603366,0.15566333,0.033797592,42.73999854051085,42.73999864897215,1172.6272727272728
770000,0.61467737,1.9999692e-05,3.3734915,0.13916542,0.03316746,37.72127993148032,37.72127994716135,1168.8350515463917
775000,0.67517805,1.9999688e-05,3.311443,0.13407579,0.034794703,55.29393661630207,55.29393668937235,1483.8142857142857
780000,0.6614188,1.9999688e-05,3.483398,0.12750064,0.034240566,58.2113359714193,58.2113358879549,1757.6813186813188
785000,0.6280224,1.9999687e-05,3.1297581,0.12633957,0.035617586,53.58271108218181,53.58271109314957,1423.2592592592594
790000,0.6807446,1.9999687e-05,3.3384986,0.106118955,0.03486904,61.782630798196266,61.78263076213715,1990.3389830508474
795000,0.6770843,1.9999687e-05,3.1637533,0.09731197,0.0346077,62.88671498433413,62.88671499844654,1877.264705882353
800000,0.65161806,1.999968e-05,3.263492,0.10272596,0.034643564,59.74050973458971,59.74050977153813,1777.3243243243244
805000,0.66200846,1.999968e-05,3.1253867,0.118107885,0.034893457,58.44357654150528,58.44357656879307,1697.632911392405
810000,0.656641,1.9999676e-05,3.0530577,0.11226855,0.034001403,53.714613951651785,53.71461400732215,1712.5487804878048
815000,0.60881126,1.9999674e-05,3.0041957,0.13744827,0.03417105,47.88651004764382,47.88651003283774,1400.0747663551401
820000,0.5952785,1.999967e-05,3.1243656,0.12536149,0.03536495,37.09248785877033,37.092487827595605,1211.1304347826087
825000,0.66404414,1.999967e-05,3.2914162,0.10738355,0.034261063,52.1570059979206,52.15700606847682,1588.3275862068965
830000,0.63020897,1.999967e-05,3.157809,0.11222046,0.03361726,65.21712203455013,65.21712205079055,1903.5352112676057
835000,0.6559455,1.9999668e-05,3.1857495,0.12501858,0.034735378,63.47489609569311,63.474896044134766,1939.375
840000,0.64697593,1.9999665e-05,3.2774775,0.11614261,0.03384781,45.77729160037752,45.77729166319972,1392.525641025641
845000,0.6634756,1.9999661e-05,2.9699092,0.1096194,0.034432128,58.925549493270225,58.925549577599305,1789.175
850000,0.65979046,1.999966e-05,2.6327443,0.10813459,0.035220135,58.61239808639512,58.61239812817748,1871.1166666666666
855000,0.6948649,1.999966e-05,2.914541,0.09651831,0.034694124,63.254670701177986,63.254670830999494,2329.720588235294
860000,0.5709884,1.9999656e-05,2.8861637,0.14551647,0.03532679,29.91913286210703,29.919132899307417,971.5714285714286
865000,0.5812652,1.9999656e-05,3.1157687,0.1446041,0.03420792,46.33604604251652,46.336046072269795,1432.1734693877552
870000,0.64498764,1.9999654e-05,2.9900277,0.111674316,0.03443617,49.496411548262195,49.49641163809173,1578.2142857142858
875000,0.61496973,1.9999652e-05,2.8896108,0.1307384,0.036396187,44.34634320395597,44.34634324669084,1376.3369565217392
880000,0.6208974,1.9999647e-05,2.50182,0.12188762,0.03437154,53.85634132254765,53.85634137810681,1706.375
885000,0.6226739,1.9999645e-05,3.015189,0.105352156,0.03448009,53.40924595046619,53.409246026265684,2130.9848484848485
890000,0.6210333,1.9999645e-05,2.9145536,0.11682332,0.034926604,57.27285523512612,57.27285519769978,1758.8181818181818
895000,0.6822424,1.9999643e-05,2.3030567,0.08797128,0.03417138,72.22103380664355,72.2210339889338,2521.6444444444446
900000,0.6643718,1.9999641e-05,2.72042,0.09759457,0.03613591,51.29372197029328,51.29372199544022,2265.035087719298
905000,0.5934869,1.999964e-05,2.820389,0.12076513,0.033331722,54.69466832776211,54.694668324006116,1749.1473684210525
910000,0.5896953,1.9999638e-05,2.7422943,0.12983537,0.03565572,36.08381625572098,36.083816256428605,1266.3116883116884
915000,0.6423673,1.9999632e-05,2.6502724,0.11250061,0.03460216,64.1444112609456,64.14441135184924,2266.7580645161293
920000,0.6950473,1.999963e-05,2.1953995,0.08989799,0.03666929,44.61282683581495,44.612827013577814,1835.2
925000,0.67043346,1.9999628e-05,2.6184382,0.09180071,0.034376454,47.8351714441696,47.83517145481434,2246.476923076923
930000,0.6402885,1.9999628e-05,2.8600714,0.111509,0.033754483,59.610284387039535,59.6102844302159,1905.855072463768
935000,0.6461055,1.9999627e-05,3.246946,0.110339016,0.03379812,47.2805309916801,47.28053097457315,1620.7682926829268
940000,0.60812646,1.9999627e-05,2.9774396,0.123721786,0.035259023,54.26347361432343,54.26347364102278,1498.6341463414635
945000,0.6162129,1.9999623e-05,3.0744257,0.12471291,0.035095163,47.534995486660655,47.53499558432947,1495.0232558139535
950000,0.60601854,1.9999621e-05,2.9955251,0.12554863,0.035054173,48.00931171297126,48.00931177150717,1503.2197802197802
955000,0.6238583,1.9999618e-05,3.0497608,0.120589465,0.034984734,47.64873124784024,47.64873126732908,1519.1898734177216
960000,0.59764314,1.9999614e-05,3.1277654,0.12473074,0.032875963,54.32689257494934,54.326892598097466,1679.1379310344828
965000,0.6172888,1.9999614e-05,2.9520807,0.11992645,0.034346413,45.222600582501464,45.22260060637715,1357.4197530864199
970000,0.6311788,1.9999612e-05,3.2655137,0.09730894,0.034942906,55.85728992092396,55.85729001475983,1889.235294117647
975000,0.6314181,1.9999612e-05,2.9984827,0.09731253,0.03347848,66.97424707384337,66.97424704892386,1906.7777777777778
980000,0.6185555,1.9999608e-05,3.1178515,0.115482196,0.035911538,52.60268613482146,52.60268608088385,1765.7297297297298
985000,0.6072444,1.9999605e-05,2.6444237,0.112753905,0.033350963,53.91282379721672,53.912823802463194,1629.4647887323943
990000,0.6422889,1.9999603e-05,2.7679229,0.10754014,0.035325978,43.47780692773833,43.477806958522144,1680.2328767123288
995000,0.59511954,1.99996e-05,2.6635597,0.12591521,0.033612378,50.61785825945399,50.617858246308465,1703.642857142857
1000000,0.55912536,1.99996e-05,2.5214577,0.1325197,0.03523009,34.28921059475367,34.289210592144265,1150.9175257731958
1005000,0.61986536,1.99996e-05,2.382659,0.10077327,0.034493163,52.805916259428486,52.80591625187831,2122.0
1010000,0.5882453,1.9999596e-05,2.510947,0.120120026,0.033995442,42.955255637466706,42.95525575243205,1666.7282608695652
1015000,0.60422516,1.9999596e-05,2.7600584,0.10070965,0.032585595,47.950893763783235,47.950893794622516,1883.7096774193549
1020000,0.56331086,1.9999594e-05,2.4373739,0.12713797,0.03319081,49.49939961175804,49.499399653485895,1655.75
1025000,0.5425063,1.9999588e-05,1.9061754,0.1065134,0.034319457,28.78092713976512,28.7809270930618,1240.2
1030000,0.59151566,1.9999588e-05,2.319998,0.10094941,0.03375118,38.6963334027639,38.69633332430697,2011.35
1035000,0.5896717,1.9999585e-05,2.343367,0.10764774,0.037709102,56.3900912986137,56.39009136117901,2165.769230769231
1040000,0.5582216,1.9999585e-05,2.5015059,0.12239039,0.032638535,32.76929847667318,32.769298475832215,1472.9239130434783
1045000,0.52488315,1.9999581e-05,2.2690618,0.14429562,0.03435799,41.79702988136805,41.797029871391,1380.7368421052631
1050000,0.49663985,1.9999581e-05,2.658381,0.14458431,0.0340661,28.114764783848923,28.11476477277614,1249.3030303030303
1055000,0.53924006,1.999958e-05,2.5312326,0.12640055,0.034864984,45.65512647306241,45.65512653477039,1550.2
1060000,0.49962002,1.9999576e-05,2.1280124,0.11989262,0.032455467,39.21241794396533,39.212417993615304,1544.0975609756097
1065000,0.52874124,1.9999572e-05,2.4514925,0.11367873,0.03510154,38.26590808103323,38.26590807818515,1815.5373134328358
1070000,0.51550764,1.9999572e-05,2.5838275,0.13576327,0.03382694,50.2928616853259,50.292861620963286,1773.4880952380952
1075000,0.49906856,1.999957e-05,2.3940132,0.15754238,0.032800313,25.626583401689146,25.62658340439776,1058.6147540983607
1080000,0.486617,1.999957e-05,2.0203912,0.12612961,0.033694293,34.07931741292954,34.079317460040336,1348.7142857142858
1085000,0.4659339,1.9999567e-05,2.2431571,0.13868265,0.03392137,30.505657312997343,30.50565733726389,1400.2181818181818
1090000,0.49527138,1.9999567e-05,2.3569221,0.13730547,0.035663698,21.154485322132434,21.15448531018024,1005.8020833333334
1095000,0.5611453,1.9999563e-05,2.0535429,0.111879796,0.034131095,42.67389376287068,42.67389379547349,1797.7142857142858
1100000,0.5616883,1.9999561e-05,2.5263522,0.114950575,0.03462258,39.38395054776868,39.383950520844756,1952.6119402985075
1105000,0.5575926,1.9999557e-05,2.727121,0.11663732,0.034251582,59.367957711480585,59.36795772044228,1950.012987012987
